STATE,DIED,Pop,POP_VAC,Rate_per_Mill,Rate_per_Mill_Vac
IL,208,12569321,7496343.0,16.5,27.7
IN,120,6805663,3044173.0,17.6,39.4
MI,179,9992427,5152095.0,17.9,34.7
OH,143,11714618,5662846.0,12.2,25.3
WI,100,5852490,3149810.0,17.1,31.7
IA,54,3167974,1630556.0,17.0,33.1
KS,59,2917224,1439067.0,20.2,41.0
MN,182,5706398,3261206.0,31.9,55.8
MO,88,6169038,2781619.0,14.3,31.6
NE,37,1951996,1011524.0,19.0,36.6
ND,31,770026,338811.0,40.3,91.5
SD,16,896581,454477.0,17.8,35.2
NJ,86,8874520,5595385.0,9.7,15.4
NY,195,19299981,11618589.0,10.1,16.8
PA,151,12804123,8064037.0,11.8,18.7
CT,38,3552821,2387496.0,10.7,15.9
ME,23,1354522,902383.0,17.0,25.5
MA,81,6912239,4880041.0,11.7,16.6
NH,45,1372203,858313.0,32.8,52.4
RI,16,1061509,687858.0,15.1,23.3
VT,11,623251,461455.0,17.6,23.8
AL,53,4934193,1975157.0,10.7,26.8
KY,151,4480713,2224226.0,33.7,67.9
MS,31,2966407,1075916.0,10.5,28.8
TN,82,6944260,2906173.0,11.8,28.2
DE,11,990334,577860.0,11.1,19.0
DC,11,714153,439133.0,15.4,25.0
FL,202,21944577,11823738.0,9.2,17.1
GA,102,10830007,4706721.0,9.4,21.7
MD,72,6065436,3769668.0,11.9,19.1
NC,91,10701022,5225309.0,8.5,17.4
SC,36,5277830,2345468.0,6.8,15.3
VA,84,8603985,5099582.0,9.8,16.5
WV,31,1767859,774676.0,17.5,40.0
AR,39,3033946,1279415.0,12.9,30.5
LA,43,4627002,1785097.0,9.3,24.1
OK,24,3990443,1795699.0,6.0,13.4
TX,177,29730311,14374605.0,6.0,12.3
AZ,64,7520103,3805924.0,8.5,16.8
CO,72,5893634,3424201.0,12.2,21.0
ID,12,1860123,737539.0,6.5,16.3
MT,27,1085004,519608.0,24.9,52.0
NV,29,3185786,1590026.0,9.1,18.2
NM,41,2105005,1328679.0,19.5,30.9
UT,15,3310774,1617644.0,4.5,9.3
WY,16,581075,229060.0,27.5,69.9
AK,26,724357,359136.0,35.9,72.4
CA,347,39613493,24421718.0,8.8,14.2
HI,24,1406430,984501.0,17.1,24.4
OR,56,4289439,2526909.0,13.1,22.2
WA,103,7796941,4795119.0,13.2,21.5
